iter	Passed	Remaining
0	145	145214
1	146	72871
2	146	48824
3	147	36820
4	148	29601
5	149	24722
6	150	21330
7	151	18749
8	152	16740
9	152	15133
10	153	13823
11	154	12723
12	155	11796
13	156	11001
14	157	10320
15	158	9719
16	158	9187
17	159	8725
18	160	8306
19	161	7907
20	162	7559
21	162	7243
22	163	6954
23	164	6696
24	165	6454
25	166	6231
26	167	6025
27	168	5833
28	168	5654
29	169	5488
30	170	5325
31	171	5177
32	171	5038
33	172	4907
34	173	4782
35	174	4665
36	174	4554
37	175	4447
38	176	4344
39	176	4247
40	177	4149
41	178	4065
42	178	3981
43	179	3901
44	180	3821
45	180	3746
46	181	3671
47	181	3603
48	182	3536
49	182	3471
50	183	3407
51	183	3346
52	184	3288
53	184	3231
54	184	3175
55	185	3121
56	185	3066
57	185	3015
58	186	2966
59	186	2919
60	186	2873
61	187	2829
62	187	2784
63	187	2743
64	187	2703
65	188	2664
66	188	2626
67	188	2590
68	189	2554
69	189	2519
70	189	2486
71	190	2451
72	190	2420
73	190	2387
74	191	2357
75	191	2328
76	191	2299
77	192	2271
78	192	2245
79	193	2219
80	193	2194
81	193	2169
82	194	2145
83	194	2121
84	194	2097
85	195	2074
86	195	2052
87	195	2030
88	196	2009
89	196	1988
90	197	1969
91	197	1950
92	197	1930
93	198	1911
94	198	1892
95	198	1873
96	199	1855
97	199	1837
98	200	1820
99	200	1803
100	200	1786
101	201	1770
102	201	1754
103	201	1738
104	202	1723
105	202	1708
106	202	1693
107	203	1679
108	203	1663
109	203	1649
110	204	1636
111	204	1622
112	204	1609
113	205	1595
114	205	1582
115	206	1570
116	206	1557
117	206	1544
118	207	1532
119	207	1521
120	207	1508
121	208	1497
122	208	1485
123	208	1474
124	209	1463
125	209	1452
126	209	1442
127	210	1432
128	210	1422
129	211	1412
130	211	1402
131	211	1392
132	212	1382
133	212	1373
134	212	1363
135	213	1354
136	213	1345
137	213	1336
138	214	1327
139	214	1318
140	215	1310
141	215	1301
142	215	1293
143	216	1284
144	216	1276
145	216	1268
146	217	1260
147	217	1252
148	217	1244
149	218	1236
150	218	1228
151	219	1221
152	219	1214
153	219	1206
154	220	1199
155	220	1192
156	220	1185
157	221	1177
158	221	1170
159	221	1164
160	222	1157
161	222	1150
162	222	1143
163	223	1136
164	223	1130
165	223	1124
166	224	1118
167	224	1111
168	224	1105
169	225	1099
170	225	1093
171	225	1087
172	226	1082
173	226	1076
174	227	1070
175	227	1065
176	227	1059
177	228	1053
178	228	1048
179	228	1042
180	229	1037
181	229	1031
182	229	1026
183	230	1021
184	230	1016
185	230	1010
186	231	1005
187	231	1000
188	232	995
189	232	990
190	232	985
191	233	980
192	233	976
193	233	971
194	234	966
195	234	961
196	234	957
197	235	952
198	235	948
199	236	944
200	236	939
201	236	935
202	237	931
203	237	926
204	237	922
205	238	918
206	238	914
207	238	909
208	239	905
209	239	901
210	240	897
211	240	893
212	240	889
213	241	885
214	241	881
215	241	877
216	242	873
217	242	870
218	242	866
219	243	862
220	243	858
221	243	854
222	244	851
223	244	847
224	245	844
225	245	840
226	245	836
227	246	833
228	246	829
229	246	826
230	247	822
231	247	819
232	247	816
233	248	812
234	248	809
235	248	805
236	249	802
237	249	799
238	250	796
239	250	793
240	251	790
241	251	787
242	251	784
243	252	781
244	252	778
245	252	775
246	253	772
247	253	769
248	254	766
249	254	763
250	254	760
251	255	757
252	255	754
253	255	751
254	256	748
255	256	745
256	256	742
257	257	740
258	257	737
259	258	734
260	258	731
261	258	729
262	259	726
263	259	723
264	259	720
265	260	718
266	260	715
267	260	712
268	261	710
269	261	707
270	262	705
271	262	702
272	262	700
273	263	697
274	263	695
275	264	692
276	264	690
277	264	687
278	265	685
279	265	682
280	265	680
281	266	677
282	266	675
283	266	673
284	267	670
285	267	668
286	268	665
287	268	663
288	268	661
289	269	658
290	269	656
291	269	654
292	270	652
293	270	649
294	271	647
295	271	645
296	271	643
297	272	640
298	272	638
299	272	636
300	273	634
301	273	632
302	273	630
303	274	627
304	274	625
305	275	623
306	275	621
307	275	619
308	276	617
309	276	615
310	276	613
311	277	611
312	277	609
313	277	607
314	278	605
315	278	603
316	279	601
317	279	599
318	279	597
319	280	595
320	280	593
321	281	591
322	281	589
323	281	587
324	282	585
325	282	584
326	282	582
327	283	580
328	283	578
329	283	576
330	284	574
331	284	572
332	284	570
333	285	569
334	285	567
335	286	565
336	286	563
337	286	561
338	287	559
339	287	558
340	287	556
341	288	554
342	288	552
343	289	551
344	289	549
